CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Aumento;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;312031;Preferencial Classe B;14504511
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;310329;Preferencial Classe B;2625179
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;307781;Preferencial Classe A;200000
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;307787;Preferencial Classe A;0
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;307402;Preferencial Classe A;0
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;307403;Preferencial Classe A;8074780
02.643.896/0001-52;2020-01-01;2;97214;REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.;290867;Preferencial Classe A;10
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;303922;Preferencial Classe B;32667
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;303923;Preferencial Classe B;69167
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;303924;Preferencial Classe B;133333
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;303925;Preferencial Classe B;33333
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;303927;Preferencial Classe B;66667
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;303928;Preferencial Classe B;333333
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;303929;Preferencial Classe B;180000
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;309604;Preferencial Classe B;60000
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;309605;Preferencial Classe B;33333
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;309607;Preferencial Classe B;66667
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;309609;Preferencial Classe B;180000
04.038.763/0001-82;2020-01-01;4;102098;CAIANDA PARTICIPACOES S.A.;303941;Preferencial Classe B;63333
04.038.763/0001-82;2020-01-01;4;102098;CAIANDA PARTICIPACOES S.A.;303942;Preferencial Classe B;37333
04.038.763/0001-82;2020-01-01;4;102098;CAIANDA PARTICIPACOES S.A.;303943;Preferencial Classe B;73833
04.038.763/0001-82;2020-01-01;4;102098;CAIANDA PARTICIPACOES S.A.;303944;Preferencial Classe B;66667
04.038.763/0001-82;2020-01-01;4;102098;CAIANDA PARTICIPACOES S.A.;303946;Preferencial Classe B;66667
04.038.763/0001-82;2020-01-01;4;102098;CAIANDA PARTICIPACOES S.A.;303947;Preferencial Classe B;66667
04.038.763/0001-82;2020-01-01;4;102098;CAIANDA PARTICIPACOES S.A.;303948;Preferencial Classe B;333333
06.164.253/0001-87;2020-01-01;12;103583;GOL LINHAS AEREAS INTELIGENTES S.A.;309552;Preferencial Classe A;5000
06.164.253/0001-87;2020-01-01;12;103583;GOL LINHAS AEREAS INTELIGENTES S.A.;309553;Preferencial Classe A;823
06.164.253/0001-87;2020-01-01;12;103583;GOL LINHAS AEREAS INTELIGENTES S.A.;309554;Preferencial Classe A;6082220
06.164.253/0001-87;2020-01-01;12;103583;GOL LINHAS AEREAS INTELIGENTES S.A.;309555;Preferencial Classe A;660
06.164.253/0001-87;2020-01-01;12;103583;GOL LINHAS AEREAS INTELIGENTES S.A.;309556;Preferencial Classe A;5086
06.164.253/0001-87;2020-01-01;12;103583;GOL LINHAS AEREAS INTELIGENTES S.A.;309557;Preferencial Classe A;336
06.164.253/0001-87;2020-01-01;12;103583;GOL LINHAS AEREAS INTELIGENTES S.A.;309558;Preferencial Classe A;19487356
06.164.253/0001-87;2020-01-01;12;103583;GOL LINHAS AEREAS INTELIGENTES S.A.;309559;Preferencial Classe A;19002500
06.164.253/0001-87;2020-01-01;12;103583;GOL LINHAS AEREAS INTELIGENTES S.A.;309560;Preferencial Classe A;52182
06.164.253/0001-87;2020-01-01;12;103583;GOL LINHAS AEREAS INTELIGENTES S.A.;309561;Preferencial Classe A;7980
06.164.253/0001-87;2020-01-01;12;103583;GOL LINHAS AEREAS INTELIGENTES S.A.;309562;Preferencial Classe A;7750
06.164.253/0001-87;2020-01-01;12;103583;GOL LINHAS AEREAS INTELIGENTES S.A.;309563;Preferencial Classe A;1050680
06.164.253/0001-87;2020-01-01;12;103583;GOL LINHAS AEREAS INTELIGENTES S.A.;309579;Preferencial Classe A;64065611
06.164.253/0001-87;2020-01-01;12;103583;GOL LINHAS AEREAS INTELIGENTES S.A.;309580;Preferencial Classe A;244185
06.164.253/0001-87;2020-01-01;12;103583;GOL LINHAS AEREAS INTELIGENTES S.A.;309581;Preferencial Classe A;230581
06.948.969/0001-75;2020-01-01;23;104881;LINX S.A.;312274;Preferencial Classe A;764906
06.948.969/0001-75;2020-01-01;23;104881;LINX S.A.;312275;Preferencial Classe B;2759983
07.857.850/0001-50;2020-01-01;9;103802;GP INVESTMENTS, LTD.;310194;Preferencial Classe A;90690
07.857.850/0001-50;2020-01-01;9;103802;GP INVESTMENTS, LTD.;310195;Preferencial Classe A;600000
07.857.850/0001-50;2020-01-01;9;103802;GP INVESTMENTS, LTD.;310196;Preferencial Classe A;55924
08.534.605/0001-74;2020-01-01;11;104233;RENOVA ENERGIA S.A.;311083;Preferencial Classe A;38920274
08.534.605/0001-74;2020-01-01;11;104233;RENOVA ENERGIA S.A.;311101;Preferencial Classe A;38920274
08.534.605/0001-74;2020-01-01;11;104233;RENOVA ENERGIA S.A.;311101;Preferencial Classe A;38920274
08.574.411/0001-00;2020-01-01;5;103989;PRÁTICA PRODUTOS S.A.;310640;Preferencial Classe A;373242
08.574.411/0001-00;2020-01-01;5;103989;PRÁTICA PRODUTOS S.A.;310640;Preferencial Classe B;414253
09.305.994/0001-29;2020-01-01;23;104561;AZUL S.A.;311486;Preferencial Classe A;33000
15.073.274/0001-88;2020-01-01;3;103615;PPLA PARTICIPATIONS LTD.;309644;Preferencial Classe D;149222798
15.073.274/0001-88;2020-01-01;3;103615;PPLA PARTICIPATIONS LTD.;309645;Preferencial Classe A;82800000
15.073.274/0001-88;2020-01-01;3;103615;PPLA PARTICIPATIONS LTD.;309645;Preferencial Classe B;165600000
15.115.504/0001-24;2020-01-01;3;100130;TRONOX PIGMENTOS DO BRASIL S.A.;301044;Preferencial Classe A;2468448
15.115.504/0001-24;2020-01-01;3;100130;TRONOX PIGMENTOS DO BRASIL S.A.;301044;Preferencial Classe B;1303622
15.139.629/0001-94;2020-01-01;8;102913;CIA ELETRICIDADE EST. DA BAHIA - COELBA;306320;Preferencial Classe A;1641258
15.139.629/0001-94;2020-01-01;8;102913;CIA ELETRICIDADE EST. DA BAHIA - COELBA;306320;Preferencial Classe B;4999008
15.139.629/0001-94;2020-01-01;8;102913;CIA ELETRICIDADE EST. DA BAHIA - COELBA;306321;Preferencial Classe A;3101901
15.139.629/0001-94;2020-01-01;8;102913;CIA ELETRICIDADE EST. DA BAHIA - COELBA;306321;Preferencial Classe B;9563348
15.139.629/0001-94;2020-01-01;8;102913;CIA ELETRICIDADE EST. DA BAHIA - COELBA;306322;Preferencial Classe A;2919354
15.139.629/0001-94;2020-01-01;8;102913;CIA ELETRICIDADE EST. DA BAHIA - COELBA;306322;Preferencial Classe B;9000787
21.262.638/0001-70;2020-01-01;1;95195;ENCALSO PARTICIPAÇŐES EM CONCESSŐES S/A;285812;Preferencial Classe A;3000
24.962.466/0001-36;2020-01-01;2;99637;RUMO MALHA NORTE S.A.;299263;Preferencial Classe A;69380885
24.962.466/0001-36;2020-01-01;2;99637;RUMO MALHA NORTE S.A.;299263;Preferencial Classe B;5129741
24.962.466/0001-36;2020-01-01;2;99637;RUMO MALHA NORTE S.A.;299264;Preferencial Classe A;7203667
29.950.060/0001-57;2020-01-01;2;104563;NORTEC QUÍMICA S.A.;311493;Preferencial Classe B;142485
30.306.294/0001-45;2020-01-01;17;103140;BCO BTG PACTUAL S.A.;307673;Preferencial Classe B;1
33.958.695/0001-78;2020-01-01;24;104656;UNIPAR CARBOCLORO S.A.;311795;Preferencial Classe A;210792
33.958.695/0001-78;2020-01-01;24;104656;UNIPAR CARBOCLORO S.A.;311795;Preferencial Classe B;4852857
33.958.695/0001-78;2020-01-01;24;104656;UNIPAR CARBOCLORO S.A.;311796;Preferencial Classe A;401722
33.958.695/0001-78;2020-01-01;24;104656;UNIPAR CARBOCLORO S.A.;311796;Preferencial Classe B;9088059
42.771.949/0001-35;2020-01-01;17;104756;ALLIANÇA SAÚDE E PARTICIPAÇŐES S.A.;311992;Preferencial Classe A;334972
42.771.949/0001-35;2020-01-01;17;104756;ALLIANÇA SAÚDE E PARTICIPAÇŐES S.A.;311993;Preferencial Classe A;50420
42.771.949/0001-35;2020-01-01;17;104756;ALLIANÇA SAÚDE E PARTICIPAÇŐES S.A.;311994;Preferencial Classe A;305
42.771.949/0001-35;2020-01-01;17;104756;ALLIANÇA SAÚDE E PARTICIPAÇŐES S.A.;311994;Preferencial Classe B;81758
42.771.949/0001-35;2020-01-01;17;104756;ALLIANÇA SAÚDE E PARTICIPAÇŐES S.A.;311995;Preferencial Classe A;490196
42.771.949/0001-35;2020-01-01;17;104756;ALLIANÇA SAÚDE E PARTICIPAÇŐES S.A.;311996;Preferencial Classe A;98823
42.771.949/0001-35;2020-01-01;17;104756;ALLIANÇA SAÚDE E PARTICIPAÇŐES S.A.;311998;Preferencial Classe A;353469
42.771.949/0001-35;2020-01-01;17;104756;ALLIANÇA SAÚDE E PARTICIPAÇŐES S.A.;311999;Preferencial Classe B;96434
42.771.949/0001-35;2020-01-01;17;104756;ALLIANÇA SAÚDE E PARTICIPAÇŐES S.A.;312001;Preferencial Classe A;20246290
42.771.949/0001-35;2020-01-01;17;104756;ALLIANÇA SAÚDE E PARTICIPAÇŐES S.A.;312002;Preferencial Classe A;166659
42.771.949/0001-35;2020-01-01;17;104756;ALLIANÇA SAÚDE E PARTICIPAÇŐES S.A.;312004;Preferencial Classe A;5128125
42.771.949/0001-35;2020-01-01;17;104756;ALLIANÇA SAÚDE E PARTICIPAÇŐES S.A.;312004;Preferencial Classe C;1956685
42.771.949/0001-35;2020-01-01;17;104756;ALLIANÇA SAÚDE E PARTICIPAÇŐES S.A.;312005;Preferencial Classe B;109158
47.508.411/0001-56;2020-01-01;14;104129;CIA BRASILEIRA DE DISTRIBUICAO;310720;Preferencial Classe A;63747
47.508.411/0001-56;2020-01-01;14;104129;CIA BRASILEIRA DE DISTRIBUICAO;310721;Preferencial Classe A;63722
47.508.411/0001-56;2020-01-01;14;104129;CIA BRASILEIRA DE DISTRIBUICAO;310722;Preferencial Classe A;106629
47.508.411/0001-56;2020-01-01;14;104129;CIA BRASILEIRA DE DISTRIBUICAO;310723;Preferencial Classe A;106590
47.508.411/0001-56;2020-01-01;14;104129;CIA BRASILEIRA DE DISTRIBUICAO;310724;Preferencial Classe A;64946
47.508.411/0001-56;2020-01-01;14;104129;CIA BRASILEIRA DE DISTRIBUICAO;310725;Preferencial Classe A;64904
47.508.411/0001-56;2020-01-01;14;104129;CIA BRASILEIRA DE DISTRIBUICAO;310888;Preferencial Classe A;700
47.508.411/0001-56;2020-01-01;14;104129;CIA BRASILEIRA DE DISTRIBUICAO;310890;Preferencial Classe A;4599
47.508.411/0001-56;2020-01-01;14;104129;CIA BRASILEIRA DE DISTRIBUICAO;310891;Preferencial Classe A;1539
47.508.411/0001-56;2020-01-01;14;104129;CIA BRASILEIRA DE DISTRIBUICAO;310892;Preferencial Classe A;1757
47.508.411/0001-56;2020-01-01;14;104129;CIA BRASILEIRA DE DISTRIBUICAO;310893;Preferencial Classe A;375
47.508.411/0001-56;2020-01-01;14;104129;CIA BRASILEIRA DE DISTRIBUICAO;310894;Preferencial Classe A;516
60.651.809/0001-05;2020-01-01;4;104299;SUZANO HOLDING S.A.;311142;Preferencial Classe A;50
61.022.042/0001-18;2020-01-01;1;95577;CONSTRUTORA ADOLPHO LINDENBERG S.A.;286797;Preferencial Classe A;202079
61.024.352/0001-71;2020-01-01;7;99906;BCO INDUSVAL S.A.;300460;Preferencial Classe A;6472196
61.088.894/0001-08;2020-01-01;6;102741;CAMBUCI S.A.;305481;Preferencial Classe A;925582
61.088.894/0001-08;2020-01-01;6;102741;CAMBUCI S.A.;305482;Preferencial Classe A;222353
62.002.886/0001-60;2020-01-01;9;103628;SAO PAULO TURISMO S.A.;309707;Preferencial Classe A;6503
62.002.886/0001-60;2020-01-01;9;103628;SAO PAULO TURISMO S.A.;309707;Preferencial Classe B;11623
62.002.886/0001-60;2020-01-01;9;103628;SAO PAULO TURISMO S.A.;309708;Preferencial Classe A;169
62.002.886/0001-60;2020-01-01;9;103628;SAO PAULO TURISMO S.A.;309708;Preferencial Classe B;3627
76.484.013/0001-45;2020-01-01;17;103087;CIA SANEAMENTO DO PARANA - SANEPAR;307408;Preferencial Classe A;27114967
76.627.504/0001-06;2020-01-01;19;106575;INEPAR S.A. INDUSTRIA E CONSTRUCOES EM RECUPERACAO JUDICIAL;318630;Preferencial Classe A;4641020
84.693.183/0001-68;2020-01-01;6;102937;SCHULZ S.A.;306476;Preferencial Classe U;14620144
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306874;Preferencial Classe A;76718092
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306874;Preferencial Classe B;30960279
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306875;Preferencial Classe A;275379318
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306875;Preferencial Classe B;33467636
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306876;Preferencial Classe A;184684857
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306876;Preferencial Classe B;31047097
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306877;Preferencial Classe A;183274076
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306877;Preferencial Classe B;30962854
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306878;Preferencial Classe A;122925525
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306878;Preferencial Classe B;30960601
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306879;Preferencial Classe A;76648092
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306879;Preferencial Classe B;12570326
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306880;Preferencial Classe A;76459468
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306880;Preferencial Classe B;12569883
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306881;Preferencial Classe A;76222601
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306881;Preferencial Classe B;12555883
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306882;Preferencial Classe A;76158542
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306882;Preferencial Classe B;12555843
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306883;Preferencial Classe A;76114170
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306883;Preferencial Classe B;12554915
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306884;Preferencial Classe A;76114170
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306884;Preferencial Classe B;12554915
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306885;Preferencial Classe A;1183591
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306885;Preferencial Classe B;3863141
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306886;Preferencial Classe A;1183591
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306886;Preferencial Classe B;853935
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306887;Preferencial Classe A;1057995
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306887;Preferencial Classe B;853532
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306888;Preferencial Classe A;76809068
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306888;Preferencial Classe B;30960601
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306889;Preferencial Classe A;76367035
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306889;Preferencial Classe B;12555883
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306890;Preferencial Classe A;76134170
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306890;Preferencial Classe B;12554915
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306891;Preferencial Classe A;1037995
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306891;Preferencial Classe B;42673
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306892;Preferencial Classe A;1020967
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306892;Preferencial Classe B;42033
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306893;Preferencial Classe A;1020967
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306893;Preferencial Classe B;42033
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306894;Preferencial Classe A;1020967
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;306894;Preferencial Classe B;40163
